smiles,pIC50,QED,TPSA,logP,heavy_atom_count,ratio_C,ratio_N,ratio_O,ratio_F,ratio_S,ratio_Br,ratio_Cl,ratio_I,ratio_C_N,ratio_C_O,ratio_C_F,ratio_C_S,ratio_C_Br,ratio_C_Cl,ratio_C_I,ratio_N_O,ratio_N_F,ratio_N_S,ratio_N_Br,ratio_N_Cl,ratio_N_I,ratio_O_F,ratio_O_S,ratio_O_Br,ratio_O_Cl,ratio_O_I,ratio_F_S,ratio_F_Br,ratio_F_Cl,ratio_F_I,ratio_S_Br,ratio_S_Cl,ratio_S_I,ratio_Br_Cl,ratio_Br_I,ratio_Cl_I,ratio_C_N_O,ratio_C_N_F,ratio_C_N_S,ratio_C_N_Br,ratio_C_N_Cl,ratio_C_N_I,ratio_C_O_F,ratio_C_O_S,ratio_C_O_Br,ratio_C_O_Cl,ratio_C_O_I,ratio_C_F_S,ratio_C_F_Br,ratio_C_F_Cl,ratio_C_F_I,ratio_C_S_Br,ratio_C_S_Cl,ratio_C_S_I,ratio_C_Br_Cl,ratio_C_Br_I,ratio_C_Cl_I,ratio_N_O_F,ratio_N_O_S,ratio_N_O_Br,ratio_N_O_Cl,ratio_N_O_I,ratio_N_F_S,ratio_N_F_Br,ratio_N_F_Cl,ratio_N_F_I,ratio_N_S_Br,ratio_N_S_Cl,ratio_N_S_I,ratio_N_Br_Cl,ratio_N_Br_I,ratio_N_Cl_I,ratio_O_F_S,ratio_O_F_Br,ratio_O_F_Cl,ratio_O_F_I,ratio_O_S_Br,ratio_O_S_Cl,ratio_O_S_I,ratio_O_Br_Cl,ratio_O_Br_I,ratio_O_Cl_I,ratio_F_S_Br,ratio_F_S_Cl,ratio_F_S_I,ratio_F_Br_Cl,ratio_F_Br_I,ratio_F_Cl_I,ratio_S_Br_Cl,ratio_S_Br_I,ratio_S_Cl_I,ratio_Br_Cl_I,ratio_C_N_O_F,ratio_C_N_O_S,ratio_C_N_O_Br,ratio_C_N_O_Cl,ratio_C_N_O_I,ratio_C_N_F_S,ratio_C_N_F_Br,ratio_C_N_F_Cl,ratio_C_N_F_I,ratio_C_N_S_Br,ratio_C_N_S_Cl,ratio_C_N_S_I,ratio_C_N_Br_Cl,ratio_C_N_Br_I,ratio_C_N_Cl_I,ratio_C_O_F_S,ratio_C_O_F_Br,ratio_C_O_F_Cl,ratio_C_O_F_I,ratio_C_O_S_Br,ratio_C_O_S_Cl,ratio_C_O_S_I,ratio_C_O_Br_Cl,ratio_C_O_Br_I,ratio_C_O_Cl_I,ratio_C_F_S_Br,ratio_C_F_S_Cl,ratio_C_F_S_I,ratio_C_F_Br_Cl,ratio_C_F_Br_I,ratio_C_F_Cl_I,ratio_C_S_Br_Cl,ratio_C_S_Br_I,ratio_C_S_Cl_I,ratio_C_Br_Cl_I,ratio_N_O_F_S,ratio_N_O_F_Br,ratio_N_O_F_Cl,ratio_N_O_F_I,ratio_N_O_S_Br,ratio_N_O_S_Cl,ratio_N_O_S_I,ratio_N_O_Br_Cl,ratio_N_O_Br_I,ratio_N_O_Cl_I,ratio_N_F_S_Br,ratio_N_F_S_Cl,ratio_N_F_S_I,ratio_N_F_Br_Cl,ratio_N_F_Br_I,ratio_N_F_Cl_I,ratio_N_S_Br_Cl,ratio_N_S_Br_I,ratio_N_S_Cl_I,ratio_N_Br_Cl_I,ratio_O_F_S_Br,ratio_O_F_S_Cl,ratio_O_F_S_I,ratio_O_F_Br_Cl,ratio_O_F_Br_I,ratio_O_F_Cl_I,ratio_O_S_Br_Cl,ratio_O_S_Br_I,ratio_O_S_Cl_I,ratio_O_Br_Cl_I,ratio_F_S_Br_Cl,ratio_F_S_Br_I,ratio_F_S_Cl_I,ratio_F_Br_Cl_I,ratio_S_Br_Cl_I,ratio_C_N_O_F_S,ratio_C_N_O_F_Br,ratio_C_N_O_F_Cl,ratio_C_N_O_F_I,ratio_C_N_O_S_Br,ratio_C_N_O_S_Cl,ratio_C_N_O_S_I,ratio_C_N_O_Br_Cl,ratio_C_N_O_Br_I,ratio_C_N_O_Cl_I,ratio_C_N_F_S_Br,ratio_C_N_F_S_Cl,ratio_C_N_F_S_I,ratio_C_N_F_Br_Cl,ratio_C_N_F_Br_I,ratio_C_N_F_Cl_I,ratio_C_N_S_Br_Cl,ratio_C_N_S_Br_I,ratio_C_N_S_Cl_I,ratio_C_N_Br_Cl_I,ratio_C_O_F_S_Br,ratio_C_O_F_S_Cl,ratio_C_O_F_S_I,ratio_C_O_F_Br_Cl,ratio_C_O_F_Br_I,ratio_C_O_F_Cl_I,ratio_C_O_S_Br_Cl,ratio_C_O_S_Br_I,ratio_C_O_S_Cl_I,ratio_C_O_Br_Cl_I,ratio_C_F_S_Br_Cl,ratio_C_F_S_Br_I,ratio_C_F_S_Cl_I,ratio_C_F_Br_Cl_I,ratio_C_S_Br_Cl_I,ratio_N_O_F_S_Br,ratio_N_O_F_S_Cl,ratio_N_O_F_S_I,ratio_N_O_F_Br_Cl,ratio_N_O_F_Br_I,ratio_N_O_F_Cl_I,ratio_N_O_S_Br_Cl,ratio_N_O_S_Br_I,ratio_N_O_S_Cl_I,ratio_N_O_Br_Cl_I,ratio_N_F_S_Br_Cl,ratio_N_F_S_Br_I,ratio_N_F_S_Cl_I,ratio_N_F_Br_Cl_I,ratio_N_S_Br_Cl_I,ratio_O_F_S_Br_Cl,ratio_O_F_S_Br_I,ratio_O_F_S_Cl_I,ratio_O_F_Br_Cl_I,ratio_O_S_Br_Cl_I,ratio_F_S_Br_Cl_I,ratio_C_N_O_F_S_Br,ratio_C_N_O_F_S_Cl,ratio_C_N_O_F_S_I,ratio_C_N_O_F_Br_Cl,ratio_C_N_O_F_Br_I,ratio_C_N_O_F_Cl_I,ratio_C_N_O_S_Br_Cl,ratio_C_N_O_S_Br_I,ratio_C_N_O_S_Cl_I,ratio_C_N_O_Br_Cl_I,ratio_C_N_F_S_Br_Cl,ratio_C_N_F_S_Br_I,ratio_C_N_F_S_Cl_I,ratio_C_N_F_Br_Cl_I,ratio_C_N_S_Br_Cl_I,ratio_C_O_F_S_Br_Cl,ratio_C_O_F_S_Br_I,ratio_C_O_F_S_Cl_I,ratio_C_O_F_Br_Cl_I,ratio_C_O_S_Br_Cl_I,ratio_C_F_S_Br_Cl_I,ratio_N_O_F_S_Br_Cl,ratio_N_O_F_S_Br_I,ratio_N_O_F_S_Cl_I,ratio_N_O_F_Br_Cl_I,ratio_N_O_S_Br_Cl_I,ratio_N_F_S_Br_Cl_I,ratio_O_F_S_Br_Cl_I,ratio_C_N_O_F_S_Br_Cl,ratio_C_N_O_F_S_Br_I,ratio_C_N_O_F_S_Cl_I,ratio_C_N_O_F_Br_Cl_I,ratio_C_N_O_S_Br_Cl_I,ratio_C_N_F_S_Br_Cl_I,ratio_C_O_F_S_Br_Cl_I,ratio_N_O_F_S_Br_Cl_I
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],9.0,0.0577313415300792,128.13,7.880600000000009,56,0.75,0.10714285714285714,0.08928571428571429,,0.03571428571428571,,0.017857142857142856,,0.8571428571428571,0.8392857142857143,,0.7857142857142857,,0.7678571428571429,,0.19642857142857142,,0.14285714285714285,,0.125,,,0.125,,0.10714285714285714,,,,,,,0.05357142857142857,,,,,0.9464285714285714,,0.8928571428571429,,0.875,,,0.875,,0.8571428571428571,,,,,,,0.8035714285714286,,,,,,0.23214285714285715,,0.21428571428571427,,,,,,,0.16071428571428573,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,0.9821428571428571,,0.9642857142857143,,,,,,,0.9107142857142857,,,,,,,,,,0.8928571428571429,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],9.0,0.0577313415300792,128.13,7.880600000000009,56,0.75,0.10714285714285714,0.08928571428571429,,0.03571428571428571,,0.017857142857142856,,0.8571428571428571,0.8392857142857143,,0.7857142857142857,,0.7678571428571429,,0.19642857142857142,,0.14285714285714285,,0.125,,,0.125,,0.10714285714285714,,,,,,,0.05357142857142857,,,,,0.9464285714285714,,0.8928571428571429,,0.875,,,0.875,,0.8571428571428571,,,,,,,0.8035714285714286,,,,,,0.23214285714285715,,0.21428571428571427,,,,,,,0.16071428571428573,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,0.9821428571428571,,0.9642857142857143,,,,,,,0.9107142857142857,,,,,,,,,,0.8928571428571429,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,9.0,0.1046489674991912,128.36,8.833200000000007,65,0.7230769230769231,0.07692307692307693,0.09230769230769231,0.046153846153846156,0.046153846153846156,,0.015384615384615385,,0.8,0.8153846153846154,0.7692307692307693,0.7692307692307693,,0.7384615384615385,,0.16923076923076924,0.12307692307692308,0.12307692307692308,,0.09230769230769231,,0.13846153846153847,0.13846153846153847,,0.1076923076923077,,0.09230769230769231,,0.06153846153846154,,,0.06153846153846154,,,,,0.8923076923076924,0.8461538461538461,0.8461538461538461,,0.8153846153846154,,0.8615384615384616,0.8615384615384616,,0.8307692307692308,,0.8153846153846154,,0.7846153846153846,,,0.7846153846153846,,,,,0.2153846153846154,0.2153846153846154,,0.18461538461538463,,0.16923076923076924,,0.13846153846153847,,,0.13846153846153847,,,,,0.18461538461538463,,0.15384615384615385,,,0.15384615384615385,,,,,,0.1076923076923077,,,,,,,,,0.9384615384615385,0.9384615384615385,,0.9076923076923077,,0.8923076923076924,,0.8615384615384616,,,0.8615384615384616,,,,,0.9076923076923077,,0.8769230769230769,,,0.8769230769230769,,,,,,0.8307692307692308,,,,,,,,,0.26153846153846155,,0.23076923076923078,,,0.23076923076923078,,,,,,0.18461538461538463,,,,,,,,,,0.2,,,,,,,,,,,,,,0.9846153846153847,,0.9538461538461539,,,0.9538461538461539,,,,,,0.9076923076923077,,,,,,,,,,0.9230769230769231,,,,,,,,,,,,,,,0.27692307692307694,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],9.0,0.0577313415300792,128.13,7.880600000000009,56,0.75,0.10714285714285714,0.08928571428571429,,0.03571428571428571,,0.017857142857142856,,0.8571428571428571,0.8392857142857143,,0.7857142857142857,,0.7678571428571429,,0.19642857142857142,,0.14285714285714285,,0.125,,,0.125,,0.10714285714285714,,,,,,,0.05357142857142857,,,,,0.9464285714285714,,0.8928571428571429,,0.875,,,0.875,,0.8571428571428571,,,,,,,0.8035714285714286,,,,,,0.23214285714285715,,0.21428571428571427,,,,,,,0.16071428571428573,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,0.9821428571428571,,0.9642857142857143,,,,,,,0.9107142857142857,,,,,,,,,,0.8928571428571429,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C(C(=O)O)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S,5.619788758,0.6162751103541025,57.61,3.759500000000002,22,0.6818181818181818,0.045454545454545456,0.13636363636363635,,0.09090909090909091,0.045454545454545456,,,0.7272727272727273,0.8181818181818182,,0.7727272727272727,0.7272727272727273,,,0.18181818181818182,,0.13636363636363635,0.09090909090909091,,,,0.22727272727272727,0.18181818181818182,,,,,,,0.13636363636363635,,,,,,0.8636363636363636,,0.8181818181818182,0.7727272727272727,,,,0.9090909090909091,0.8636363636363636,,,,,,,0.8181818181818182,,,,,,,0.2727272727272727,0.22727272727272727,,,,,,,0.18181818181818182,,,,,,,,,,0.2727272727272727,,,,,,,,,,,,,,,,,0.9545454545454546,0.9090909090909091,,,,,,,0.8636363636363636,,,,,,,,,,0.9545454545454546,,,,,,,,,,,,,,,,,,,,0.3181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2ccc(OCOc3ccc(/C=C4\SC(=S)N([C@@H](Cc5ccccc5)C(=O)OCC)C4=O)cc3)cc2)SC1=S,3.645891561,0.0474456697249531,111.68,7.853100000000008,57,0.7543859649122807,0.03508771929824561,0.14035087719298245,,0.07017543859649122,,,,0.7894736842105263,0.8947368421052632,,0.8245614035087719,,,,0.17543859649122806,,0.10526315789473684,,,,,0.21052631578947367,,,,,,,,,,,,,,0.9298245614035088,,0.8596491228070176,,,,,0.9649122807017544,,,,,,,,,,,,,,,0.24561403508771928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2ccc(OCCOCCOCCOc3ccc(/C=C4\SC(=S)N([C@@H](Cc5ccccc5)C(=O)O)C4=O)cc3)cc2)SC1=S,4.673664139,0.0503441289124979,152.14,6.971800000000008,60,0.7333333333333333,0.03333333333333333,0.16666666666666666,,0.06666666666666667,,,,0.7666666666666667,0.9,,0.8,,,,0.2,,0.1,,,,,0.23333333333333334,,,,,,,,,,,,,,0.9333333333333333,,0.8333333333333334,,,,,0.9666666666666667,,,,,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2ccc(OCCOc3ccc(/C=C4\SC(=S)N([C@@H](Cc5ccccc5)C(=O)O)C4=O)cc3)cc2)SC1=S,5.769551079,0.0733991882173861,133.68,6.938600000000005,54,0.7407407407407407,0.037037037037037035,0.14814814814814814,,0.07407407407407407,,,,0.7777777777777778,0.8888888888888888,,0.8148148148148148,,,,0.18518518518518517,,0.1111111111111111,,,,,0.2222222222222222,,,,,,,,,,,,,,0.9259259259259259,,0.8518518518518519,,,,,0.9629629629629629,,,,,,,,,,,,,,,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC/C(=C1/SC(=S)N([C@@H](Cc2ccccc2)C(=O)O)C1=O)c1ccccc1,4.920818754,0.5260964247421585,57.61000000000001,4.754000000000003,28,0.7857142857142857,0.03571428571428571,0.10714285714285714,,0.07142857142857142,,,,0.8214285714285714,0.8928571428571429,,0.8571428571428571,,,,0.14285714285714285,,0.10714285714285714,,,,,0.17857142857142858,,,,,,,,,,,,,,0.9285714285714286,,0.8928571428571429,,,,,0.9642857142857143,,,,,,,,,,,,,,,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCC[C@H](NC(C)=O)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,5.453457337,0.0814086954997791,176.61,4.1140000000000025,43,0.6511627906976745,0.11627906976744186,0.16279069767441862,,0.06976744186046512,,,,0.7674418604651163,0.813953488372093,,0.7209302325581395,,,,0.27906976744186046,,0.18604651162790697,,,,,0.23255813953488372,,,,,,,,,,,,,,0.9302325581395349,,0.8372093023255814,,,,,0.8837209302325582,,,,,,,,,,,,,,,0.3488372093023256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
